DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
13.04.2018 19:39;51;84;0;0;30201;22994;9302;12994;7300;4405;84188
13.04.2018 19:39;48;80;0;0;90929;17077;44763;14141;12591;5103;89244
13.04.2018 19:39;48;90;0;0;5427;4533;1945;3151;3024;1340;20920
13.04.2018 19:39;47;84;0;0;121528;36837;17504;51142;28783;10012;125167
13.04.2018 19:39;44;80;0;0;54956;24237;4603;8933;7465;9557;153397
13.04.2018 19:39;51;74;0;0;40554;12853;11782;22216;11632;6227;85830
13.04.2018 19:39;47;54;0;0;106384;4644;9750;5255;17408;6005;82014
13.04.2018 19:39;61;63;0;0;2681;10727;4227;6359;15997;7111;106801
13.04.2018 19:39;66;63;0;0;8732;1528;3229;427;2539;2298;32178
13.04.2018 19:39;78;67;0;0;10950;3003;14495;7388;16069;9595;82946
13.04.2018 19:39;90;77;0;0;18795;9003;2163;6780;20314;11648;67127
13.04.2018 19:39;77;69;0;0;47414;6273;20529;17387;14572;6532;116239
13.04.2018 19:39;87;67;0;0;12974;6949;5878;9812;13497;9875;86506
13.04.2018 19:39;78;64;0;0;40081;22156;4685;12561;16966;6275;68673
13.04.2018 19:39;77;75;0;0;8222;9426;6041;13064;10668;10288;78889
13.04.2018 19:39;66;56;0;0;168648;9198;5160;10459;13091;5642;87088
13.04.2018 19:39;63;51;0;0;17560;4713;3969;10551;10228;6545;68628
13.04.2018 19:39;63;64;0;0;10180;36049;12162;17499;14985;8315;106282
13.04.2018 19:39;61;64;0;0;18676;12901;6571;3832;15233;7577;105982
13.04.2018 19:39;70;83;0;0;18863;6511;8441;13796;7507;5692;64859
13.04.2018 19:39;56;93;0;0;103741;30078;33701;15769;9820;4802;66256
13.04.2018 19:39;63;69;0;0;4397;1031;936;4312;3729;1931;17707
13.04.2018 19:39;53;56;0;0;75188;4901;9711;10114;10046;10721;72761
13.04.2018 19:40;51;47;0;0;38549;5098;2662;2835;8827;2907;18216
13.04.2018 19:40;63;50;0;0;8695;4279;6787;3667;3873;4426;15921
