DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
13.04.2018 19:41;66;75;0;0;406407;24443;18072;5639;11534;5605;3339
13.04.2018 19:41;64;75;0;0;5786;3556;1848;1281;1099;657;315
13.04.2018 19:41;54;78;0;0;61652;27767;27216;17707;11948;2708;1590
13.04.2018 19:41;23;50;0;0;544642;26442;35434;86445;17766;20145;8115
13.04.2018 19:41;24;48;0;0;1338494;45960;93512;84834;42958;35184;11963
13.04.2018 19:41;21;29;0;0;250385;29542;36278;67034;27836;23370;5164
13.04.2018 19:41;11;13;0;0;100723;15193;9831;9279;6074;2789;719
13.04.2018 19:41;13;8;0;0;143743;5963;5362;6722;4712;1565;1834
13.04.2018 19:41;14;21;0;0;1157154;191369;92263;101724;48040;17641;13290
13.04.2018 19:41;24;26;0;0;224317;17716;82243;101738;54345;7523;2844
13.04.2018 19:41;27;35;0;0;96461;38324;17634;44059;8294;6513;3027
13.04.2018 19:41;41;41;0;0;77388;7711;4368;15820;6630;3620;1296
13.04.2018 19:41;41;30;0;0;88345;7998;4513;10547;3357;2623;1637
13.04.2018 19:41;27;51;0;0;10274;19515;3160;8794;2443;1807;1604
13.04.2018 19:41;30;24;0;0;326368;4096;6888;4511;25921;6331;6450
13.04.2018 19:41;20;41;0;0;521803;99005;41259;46241;24458;27219;22791
13.04.2018 19:41;41;67;0;0;54042;24465;30998;15244;15872;20553;9674
13.04.2018 19:41;44;57;0;0;67454;21433;12625;5401;8510;4366;1079
13.04.2018 19:41;56;91;0;0;27340;10512;10857;9241;7751;1487;274
13.04.2018 19:41;78;100;0;0;70270;56411;41412;40931;27421;4914;4164
13.04.2018 19:41;63;96;0;0;11469;3867;1155;1283;858;152;86
13.04.2018 19:41;56;87;0;0;168131;21901;16339;26596;12269;2427;1775
13.04.2018 19:41;43;77;0;0;92434;9980;13930;7072;8010;6031;1901
13.04.2018 19:41;29;66;0;0;126201;40092;7871;17597;10242;1681;2498
13.04.2018 19:41;47;66;0;0;37205;15958;9651;18458;10219;3397;1978
13.04.2018 19:41;61;77;0;0;22337;8623;15310;23857;7623;4817;3893
13.04.2018 19:41;64;81;0;0;29633;9528;2658;1420;3715;3743;1077
13.04.2018 19:41;66;87;0;0;78215;6273;35920;4394;8683;5897;6513
13.04.2018 19:41;56;87;0;0;31025;10802;5550;7667;3242;3838;1373
13.04.2018 19:41;51;96;0;0;27627;41481;7700;20677;8930;7679;3185
13.04.2018 19:41;37;97;0;0;44580;15323;2612;3481;1937;675;365
13.04.2018 19:41;38;90;0;0;46248;10406;7763;16962;5217;1065;300
13.04.2018 19:41;27;93;0;0;39560;20358;2655;4106;2364;2583;1126
13.04.2018 19:41;20;70;0;0;58042;6042;4032;3884;4360;1129;475
13.04.2018 19:41;43;70;0;0;15647;3584;3774;2936;3473;1087;721
13.04.2018 19:41;56;78;0;0;27076;13697;4149;5318;8423;4842;3310
13.04.2018 19:41;75;77;0;0;13069;6359;1504;1817;2955;1212;508
13.04.2018 19:41;70;100;0;0;69008;59280;21716;3323;8024;7380;1365
13.04.2018 19:41;61;100;0;0;25817;25526;20381;12545;4618;1875;3382
13.04.2018 19:41;30;100;0;0;445755;112589;45001;31253;15838;13995;3951
13.04.2018 19:41;24;97;0;0;161300;25759;9441;10248;15101;3442;4279
13.04.2018 19:41;17;88;0;0;63791;23029;12076;14664;3532;2164;746
13.04.2018 19:41;24;74;0;0;404149;196726;30085;237683;73351;10012;3694
13.04.2018 19:41;26;75;0;0;102955;19123;17190;5632;3902;6973;12939
13.04.2018 19:41;47;88;0;0;6350;3769;6832;3752;7992;1559;1021
13.04.2018 19:41;53;84;0;0;68799;18405;5979;8296;4762;3291;1928
13.04.2018 19:41;44;90;0;0;46598;13659;13747;2235;5242;3407;818
13.04.2018 19:41;78;87;0;0;39531;13372;10377;28328;22825;4497;1409
13.04.2018 19:41;40;67;0;0;701431;38664;73686;154350;19185;14283;6087
13.04.2018 19:41;64;80;0;0;3408;4332;7534;4587;5530;690;386
